date,Q_cfs,00060_Mean_cd,dayl,prcp,srad_x,swe,tmax,tmin,vp,eto,gage,pr,srad_y,tmmn,tmmx,vpd
2000-10-01 00:00:00+00:00,90.0,A,41293.611558737306,0.0,374.6997359258206,27.8233380599243,15.791197256267017,2.6607017458914046,738.4217661188158,3.818891868394956,09292500,0.0,195.69072142078755,0.8911090642398563,13.524724033282098,0.6740830424420322
2000-10-02 00:00:00+00:00,87.0,A,41129.15316506842,0.0,370.3343303566208,26.73801429720863,15.268946210726218,2.1375928153126256,711.3861951913498,3.5371333294707195,09292500,0.0,193.08300769661065,0.33828282088086326,13.405026562704109,0.6350623020369288
2000-10-03 00:00:00+00:00,86.0,A,40965.04145422067,0.0,374.4312290660176,26.242313672074243,12.069506094327162,-1.032504342821296,568.6723735097156,2.645397436972499,09292500,0.0,171.3539412118325,-2.0521226073232697,11.03212252257049,0.4765104462316465
2000-10-04 00:00:00+00:00,85.0,A,40801.30509524825,0.0,387.0983139709903,25.635387574352084,13.232084654397944,-0.7656796972293893,577.8444107456638,3.3674240677665908,09292500,0.0,194.45489012616864,-2.9054039260649915,11.006698436577949,0.6242002354907387
2000-10-05 00:00:00+00:00,83.0,A,40637.96948983656,0.0,406.5874894018213,25.40402328621857,11.765484901229083,-3.372976758315714,477.1689439935681,3.1472718940118303,09292500,0.0,194.61478530186076,-5.391127812289312,8.327969293423564,0.6087103655967245
2000-10-06 00:00:00+00:00,82.0,A,40475.07550894691,0.0,416.3442285864344,25.132532403468424,12.525611701648067,-3.6030010530883807,468.2549534003346,3.0314888994427727,09292500,0.0,191.1331575397399,-5.701546910969341,10.064874437638991,0.6552218726451022
2000-10-07 00:00:00+00:00,82.0,A,40312.64950195919,0.0,410.1502412537167,24.882617042984148,11.856001533693728,-3.903935492576526,457.7349709396649,2.3080541680446856,09292500,0.0,189.22315539498277,-4.4691741805308425,11.791882008932646,0.6987236301032856
2000-10-08 00:00:00+00:00,79.0,A,40150.726670004944,0.0,415.595725777898,24.554387835239407,13.345793215997196,-3.2946542931023166,479.1178283061101,2.529095840924637,09292500,0.0,188.1824911107404,-3.4542932574323686,12.556483885673686,0.7107440590920577
2000-10-09 00:00:00+00:00,77.0,A,39989.33269574023,3.2460037661762096,295.2304605452695,24.245258164710588,11.922701743713551,-2.973104750635784,491.3580119846006,2.7858011771140854,09292500,0.4740060251266956,182.4307424629202,-3.2696178577038495,11.767780615045524,0.571921097219826
2000-10-10 00:00:00+00:00,95.0,A,39828.50620883496,26.60178853865668,92.2598914892039,23.824223565926196,2.667130021074448,-1.290435655661882,558.1078650568959,1.5799064211857994,09292500,21.95703683437049,148.05024347059987,-3.6926470368258606,5.244254269548435,0.192427996591167
2000-10-11 00:00:00+00:00,115.0,A,39668.27930839965,18.56599478419379,234.22909909435631,39.93898730334182,1.6277533930509658,-8.222346346105002,332.52744044049376,1.2352532182106253,09292500,27.82990059958762,143.13403241802283,-7.703610993717405,2.0160097307953606,0.1416127916045139
2000-10-12 00:00:00+00:00,97.0,A,39508.68663771482,0.0176290540085012,415.8912985661676,39.93898730334182,3.81896598959572,-10.74675346922235,273.3209219324269,1.5666038307181729,09292500,1.967978474649531,175.13588992882353,-10.072167810328722,3.0308995585081107,0.2232222285699275
2000-10-13 00:00:00+00:00,90.0,A,39349.76392573739,3.866407696265546,297.35531674193,43.805384345007205,1.3064407030543372,-11.42252572667056,257.6866043802044,1.1486010166852263,09292500,0.6155293353195358,158.16193193341266,-10.994157821116403,0.46827538798066826,0.1323991385630203
2000-10-14 00:00:00+00:00,88.0,A,39191.5458003901,0.0,397.1969225145447,43.80427038812376,4.599478006194816,-8.846162965443714,315.0784262557434,1.2112066966024024,09292500,1.5333402941665306,154.56892348027768,-10.632928181354373,1.8382628764500168,0.1553927483366223
2000-10-15 00:00:00+00:00,84.0,A,39034.07151379957,0.0,430.95966220532375,43.80240287531962,7.372613427133738,-8.347551173618973,327.2944431384883,1.382868823208706,09292500,2.1222775500241307,160.00965624087374,-10.700845063585007,3.0854748111255503,0.2180105732831194
2000-10-16 00:00:00+00:00,83.0,A,38877.38210017962,0.0,467.4757764568298,43.801944187374936,10.260793354375688,-9.35628812278916,302.89591289900875,2.0269808147543387,09292500,0.2420364444328946,171.77794503392482,-8.180442836721625,6.882648106037323,0.4530823282857161
2000-10-17 00:00:00+00:00,83.0,A,38721.50257181147,0.0,457.3662043787152,43.72771950642914,13.161629092253248,-6.133484130087616,387.5392649809837,2.142793369810537,09292500,0.1741107179353228,167.7921184754318,-5.149774993766357,11.342726176737074,0.6255115251152843
2000-10-18 00:00:00+00:00,84.0,A,38566.48730928924,0.0,423.6222652621884,43.040987868779965,12.629868237129092,-4.08021557543142,452.0221778711641,2.308454480487044,09292500,0.0,168.6303002899369,-4.208151462210537,8.828213172156211,0.4963276208470073
2000-10-19 00:00:00+00:00,84.0,A,38412.37116322415,0.0,413.2608706120182,42.45272678215935,12.203872641702006,-4.175188800065531,448.92527144167445,2.0912792452215005,09292500,0.0,162.30629945798677,-4.076766418949717,8.282555211019655,0.4355202081297514
2000-10-20 00:00:00+00:00,83.0,A,38259.195068731846,0.0081260939988552,413.9377641646765,42.23077218798299,11.809746953640426,-5.036044789354711,421.7577371060755,2.254717120494913,09292500,0.0,162.50313476642344,-4.874520939665729,9.419414436620514,0.5173460294994635
